Input,,,Output
0.500000, 31.210000,,1.499927, 1.064119
0.500000, 31.211000,,1.502428, 1.063222
0.500000, 31.212000,,1.504905, 1.062308
0.500000, 31.213000,,1.507399, 1.061386
0.500000, 31.214000,,1.509868, 1.060465
0.500000, 31.215000,,1.512360, 1.059541
0.500000, 31.216000,,1.514845, 1.058599
0.500000, 31.217000,,1.517328, 1.057658
0.500000, 31.218000,,1.519800, 1.056709
0.500000, 31.219000,,1.522265, 1.055765
0.500000, 31.220000,,1.524738, 1.054819
0.500000, 31.221000,,1.527224, 1.053839
0.500000, 31.222000,,1.529676, 1.052875
0.500000, 31.223000,,1.532161, 1.051906
0.500000, 31.224000,,1.534617, 1.050923
0.500000, 31.225000,,1.537059, 1.049935
0.500000, 31.226000,,1.539529, 1.048948
0.500000, 31.227000,,1.541977, 1.047962
0.500000, 31.228000,,1.544441, 1.046958
0.500000, 31.229000,,1.546890, 1.045942
0.500000, 31.230000,,1.549330, 1.044933
0.500000, 31.231000,,1.551779, 1.043912
0.500000, 31.232000,,1.554222, 1.042896
0.500000, 31.233000,,1.556668, 1.041860
0.500000, 31.234000,,1.559103, 1.040817
0.500000, 31.235000,,1.561557, 1.039778
0.500000, 31.236000,,1.563984, 1.038737
0.500000, 31.237000,,1.566407, 1.037677
0.500000, 31.238000,,1.568848, 1.036616
0.500000, 31.239000,,1.571262, 1.035553
0.500000, 31.240000,,1.573699, 1.034485
0.500000, 31.241000,,1.576117, 1.033415
0.500000, 31.242000,,1.578541, 1.032344
0.500000, 31.243000,,1.580961, 1.031238
0.500000, 31.244000,,1.583376, 1.030145
0.500000, 31.245000,,1.585792, 1.029061
0.500000, 31.246000,,1.588199, 1.027949
0.500000, 31.247000,,1.590604, 1.026845
0.500000, 31.248000,,1.593020, 1.025726
0.500000, 31.249000,,1.595413, 1.024616
0.500000, 31.250000,,1.597818, 1.023485
0.500000, 31.251000,,1.600210, 1.022350
0.500000, 31.252000,,1.602614, 1.021219
0.500000, 31.253000,,1.605001, 1.020071
0.500000, 31.254000,,1.607390, 1.018919
0.500000, 31.255000,,1.609779, 1.017776
0.500000, 31.256000,,1.612161, 1.016608
0.500000, 31.257000,,1.614556, 1.015436
0.500000, 31.258000,,1.616939, 1.014280
0.500000, 31.259000,,1.619313, 1.013093
0.500000, 31.260000,,1.621688, 1.011916
0.500000, 31.261000,,1.624069, 1.010722
0.500000, 31.262000,,1.626423, 1.009536
0.500000, 31.263000,,1.628801, 1.008343
0.500000, 31.264000,,1.631153, 1.007141
0.500000, 31.265000,,1.633520, 1.005930
0.500000, 31.266000,,1.635892, 1.004704
0.500000, 31.267000,,1.638234, 1.003501
0.500000, 31.268000,,1.640588, 1.002272
0.500000, 31.269000,,1.642932, 1.001049
0.500000, 31.270000,,1.645287, 0.999806
0.500000, 31.271000,,1.647644, 0.998564
0.500000, 31.272000,,1.649961, 0.997303
0.500000, 31.273000,,1.652312, 0.996062
0.500000, 31.274000,,1.654643, 0.994804
0.500000, 31.275000,,1.656984, 0.993537
0.500000, 31.276000,,1.659315, 0.992282
0.500000, 31.277000,,1.661644, 0.991003
0.500000, 31.278000,,1.663960, 0.989718
0.500000, 31.279000,,1.666292, 0.988431
0.500000, 31.280000,,1.668608, 0.987137
0.500000, 31.281000,,1.670924, 0.985838
0.500000, 31.282000,,1.673238, 0.984538
0.500000, 31.283000,,1.675547, 0.983238
0.500000, 31.284000,,1.677863, 0.981922
0.500000, 31.285000,,1.680177, 0.980597
0.500000, 31.286000,,1.682470, 0.979289
0.500000, 31.287000,,1.684762, 0.977950
0.500000, 31.288000,,1.687070, 0.976611
0.500000, 31.289000,,1.689362, 0.975285
0.500000, 31.290000,,1.691649, 0.973935
0.500000, 31.291000,,1.693947, 0.972572
0.500000, 31.292000,,1.696223, 0.971226
0.500000, 31.293000,,1.698504, 0.969856
0.500000, 31.294000,,1.700782, 0.968501
0.500000, 31.295000,,1.703049, 0.967124
0.500000, 31.296000,,1.705323, 0.965738
0.500000, 31.297000,,1.707605, 0.964367
0.500000, 31.298000,,1.709877, 0.962961
0.500000, 31.299000,,1.712140, 0.961579
0.500000, 31.300000,,1.714385, 0.960177
0.500000, 31.301000,,1.716655, 0.958771
0.500000, 31.302000,,1.718899, 0.957366
0.500000, 31.303000,,1.721146, 0.955944
0.500000, 31.304000,,1.723408, 0.954533
0.500000, 31.305000,,1.725645, 0.953109
0.500000, 31.306000,,1.727895, 0.951669
0.500000, 31.307000,,1.730130, 0.950242
0.500000, 31.308000,,1.732359, 0.948793
0.500000, 31.309000,,1.734599, 0.947360
0.500000, 31.310000,,1.736819, 0.945900
0.500000, 31.311000,,1.739051, 0.944453
0.500000, 31.312000,,1.741263, 0.942988
0.500000, 31.313000,,1.743486, 0.941510
0.500000, 31.314000,,1.745708, 0.940046
0.500000, 31.315000,,1.747911, 0.938563
0.500000, 31.316000,,1.750124, 0.937090
0.500000, 31.317000,,1.752328, 0.935595
0.500000, 31.318000,,1.754533, 0.934096
0.500000, 31.319000,,1.756731, 0.932600
0.500000, 31.320000,,1.758930, 0.931077
0.500000, 31.321000,,1.761128, 0.929574
0.500000, 31.322000,,1.763317, 0.928054
0.500000, 31.323000,,1.765495, 0.926528
0.500000, 31.324000,,1.767689, 0.925009
0.500000, 31.325000,,1.769865, 0.923477
0.500000, 31.326000,,1.772038, 0.921943
0.500000, 31.327000,,1.774207, 0.920401
0.500000, 31.328000,,1.776380, 0.918864
0.500000, 31.329000,,1.778543, 0.917313
0.500000, 31.330000,,1.780711, 0.915759
0.500000, 31.331000,,1.782866, 0.914187
0.500000, 31.332000,,1.785025, 0.912608
0.500000, 31.333000,,1.787172, 0.911043
0.500000, 31.334000,,1.789319, 0.909451
0.500000, 31.335000,,1.791474, 0.907885
0.500000, 31.336000,,1.793604, 0.906299
0.500000, 31.337000,,1.795745, 0.904708
0.500000, 31.338000,,1.797889, 0.903109
0.500000, 31.339000,,1.800013, 0.901500
0.500000, 31.340000,,1.802151, 0.899891
0.500000, 31.341000,,1.804269, 0.898278
0.500000, 31.342000,,1.806383, 0.896655
0.500000, 31.343000,,1.808508, 0.895024
0.500000, 31.344000,,1.810611, 0.893393
0.500000, 31.345000,,1.812718, 0.891768
0.500000, 31.346000,,1.814813, 0.890138
0.500000, 31.347000,,1.816935, 0.888489
0.500000, 31.348000,,1.819036, 0.886827
0.500000, 31.349000,,1.821122, 0.885184
0.500000, 31.350000,,1.823203, 0.883518
0.500000, 31.351000,,1.825303, 0.881861
0.500000, 31.352000,,1.827388, 0.880187
0.500000, 31.353000,,1.829462, 0.878499
0.500000, 31.354000,,1.831547, 0.876831
0.500000, 31.355000,,1.833603, 0.875136
0.500000, 31.356000,,1.835682, 0.873452
0.500000, 31.357000,,1.837749, 0.871753
0.500000, 31.358000,,1.839809, 0.870056
0.500000, 31.359000,,1.841872, 0.868356
0.500000, 31.360000,,1.843922, 0.866640
0.500000, 31.361000,,1.845959, 0.864919
0.500000, 31.362000,,1.848004, 0.863189
0.500000, 31.363000,,1.850053, 0.861476
0.500000, 31.364000,,1.852077, 0.859737
0.500000, 31.365000,,1.854122, 0.858016
0.500000, 31.366000,,1.856145, 0.856253
0.500000, 31.367000,,1.858189, 0.854510
0.500000, 31.368000,,1.860205, 0.852768
0.500000, 31.369000,,1.862222, 0.851006
0.500000, 31.370000,,1.864241, 0.849259
0.500000, 31.371000,,1.866253, 0.847484
0.500000, 31.372000,,1.868246, 0.845716
0.500000, 31.373000,,1.870250, 0.843931
0.500000, 31.374000,,1.872243, 0.842154
0.500000, 31.375000,,1.874241, 0.840371
0.500000, 31.376000,,1.876239, 0.838575
0.500000, 31.377000,,1.878232, 0.836772
0.500000, 31.378000,,1.880214, 0.834977
0.500000, 31.379000,,1.882185, 0.833181
0.500000, 31.380000,,1.884171, 0.831376
0.500000, 31.381000,,1.886136, 0.829556
0.500000, 31.382000,,1.888097, 0.827731
0.500000, 31.383000,,1.890063, 0.825907
0.500000, 31.384000,,1.892021, 0.824080
0.500000, 31.385000,,1.893971, 0.822244
0.500000, 31.386000,,1.895911, 0.820409
0.500000, 31.387000,,1.897881, 0.818570
0.500000, 31.388000,,1.899823, 0.816704
0.500000, 31.389000,,1.901750, 0.814857
0.500000, 31.390000,,1.903690, 0.813009
0.500000, 31.391000,,1.905625, 0.811138
0.500000, 31.392000,,1.907549, 0.809286
0.500000, 31.393000,,1.909463, 0.807384
0.500000, 31.394000,,1.911377, 0.805518
0.500000, 31.395000,,1.913287, 0.803624
0.500000, 31.396000,,1.915194, 0.801740
0.500000, 31.397000,,1.917097, 0.799855
0.500000, 31.398000,,1.918994, 0.797957
0.500000, 31.399000,,1.920905, 0.796050
0.500000, 31.400000,,1.922790, 0.794146
0.500000, 31.401000,,1.924663, 0.792229
0.500000, 31.402000,,1.926550, 0.790320
0.500000, 31.403000,,1.928437, 0.788399
0.500000, 31.404000,,1.930308, 0.786465
0.500000, 31.405000,,1.932173, 0.784537
0.500000, 31.406000,,1.934044, 0.782601
0.500000, 31.407000,,1.935893, 0.780648
0.500000, 31.408000,,1.937742, 0.778723
0.500000, 31.409000,,1.939614, 0.776778
0.500000, 31.410000,,1.941450, 0.774825
0.500000, 31.411000,,1.943297, 0.772849
0.500000, 31.412000,,1.945139, 0.770899
0.500000, 31.413000,,1.946972, 0.768919
0.500000, 31.414000,,1.948803, 0.766958
0.500000, 31.415000,,1.950603, 0.764980
0.500000, 31.416000,,1.952448, 0.762997
0.500000, 31.417000,,1.954261, 0.760995
0.500000, 31.418000,,1.956081, 0.759011
0.500000, 31.419000,,1.957878, 0.757025
0.500000, 31.420000,,1.959683, 0.755025
0.500000, 31.421000,,1.961481, 0.753003
0.500000, 31.422000,,1.963267, 0.750996
0.500000, 31.423000,,1.965071, 0.748973
0.500000, 31.424000,,1.966840, 0.746957
0.500000, 31.425000,,1.968620, 0.744944
0.500000, 31.426000,,1.970397, 0.742908
0.500000, 31.427000,,1.972164, 0.740884
0.500000, 31.428000,,1.973942, 0.738840
0.500000, 31.429000,,1.975690, 0.736808
0.500000, 31.430000,,1.977457, 0.734757
0.500000, 31.431000,,1.979216, 0.732711
0.500000, 31.432000,,1.980947, 0.730664
0.500000, 31.433000,,1.982685, 0.728594
0.500000, 31.434000,,1.984417, 0.726524
0.500000, 31.435000,,1.986161, 0.724469
0.500000, 31.436000,,1.987884, 0.722395
0.500000, 31.437000,,1.989612, 0.720290
0.500000, 31.438000,,1.991328, 0.718227
0.500000, 31.439000,,1.993032, 0.716129
0.500000, 31.440000,,1.994756, 0.714041
0.500000, 31.441000,,1.996447, 0.711948
0.500000, 31.442000,,1.998141, 0.709848
0.500000, 31.443000,,1.999846, 0.707755
0.500000, 31.444000,,2.001524, 0.705636
0.500000, 31.445000,,2.003216, 0.703525
0.500000, 31.446000,,2.004900, 0.701409
0.500000, 31.447000,,2.006558, 0.699277
0.500000, 31.448000,,2.008236, 0.697146
0.500000, 31.449000,,2.009902, 0.695019
0.500000, 31.450000,,2.011549, 0.692882
0.500000, 31.451000,,2.013208, 0.690757
0.500000, 31.452000,,2.014866, 0.688614
0.500000, 31.453000,,2.016510, 0.686445
0.500000, 31.454000,,2.018164, 0.684305
0.500000, 31.455000,,2.019772, 0.682145
0.500000, 31.456000,,2.021405, 0.679996
0.500000, 31.457000,,2.023041, 0.677808
0.500000, 31.458000,,2.024653, 0.675658
0.500000, 31.459000,,2.026256, 0.673484
0.500000, 31.460000,,2.027879, 0.671297
0.500000, 31.461000,,2.029467, 0.669109
0.500000, 31.462000,,2.031074, 0.666947
0.500000, 31.463000,,2.032650, 0.664744
0.500000, 31.464000,,2.034252, 0.662560
0.500000, 31.465000,,2.035856, 0.660358
0.500000, 31.466000,,2.037422, 0.658145
0.500000, 31.467000,,2.038979, 0.655937
0.500000, 31.468000,,2.040565, 0.653739
0.500000, 31.469000,,2.042106, 0.651521
0.500000, 31.470000,,2.043678, 0.649299
0.500000, 31.471000,,2.045220, 0.647085
0.500000, 31.472000,,2.046775, 0.644858
0.500000, 31.473000,,2.048321, 0.642624
0.500000, 31.474000,,2.049869, 0.640376
0.500000, 31.475000,,2.051395, 0.638140
0.500000, 31.476000,,2.052917, 0.635912
0.500000, 31.477000,,2.054432, 0.633651
0.500000, 31.478000,,2.055961, 0.631395
0.500000, 31.479000,,2.057463, 0.629156
0.500000, 31.480000,,2.058976, 0.626883
0.500000, 31.481000,,2.060471, 0.624611
0.500000, 31.482000,,2.061965, 0.622343
0.500000, 31.483000,,2.063440, 0.620089
0.500000, 31.484000,,2.064924, 0.617780
0.500000, 31.485000,,2.066405, 0.615518
0.500000, 31.486000,,2.067874, 0.613236
0.500000, 31.487000,,2.069349, 0.610950
0.500000, 31.488000,,2.070805, 0.608665
0.500000, 31.489000,,2.072259, 0.606366
0.500000, 31.490000,,2.073717, 0.604060
0.500000, 31.491000,,2.075161, 0.601755
0.500000, 31.492000,,2.076605, 0.599452
0.500000, 31.493000,,2.078022, 0.597151
0.500000, 31.494000,,2.079452, 0.594834
0.500000, 31.495000,,2.080888, 0.592515
0.500000, 31.496000,,2.082302, 0.590174
0.500000, 31.497000,,2.083722, 0.587863
0.500000, 31.498000,,2.085117, 0.585524
0.500000, 31.499000,,2.086517, 0.583204
0.500000, 31.500000,,2.087902, 0.580842
0.500000, 31.501000,,2.089306, 0.578502
0.500000, 31.502000,,2.090702, 0.576164
0.500000, 31.503000,,2.092065, 0.573821
0.500000, 31.504000,,2.093434, 0.571474
0.500000, 31.505000,,2.094822, 0.569105
0.500000, 31.506000,,2.096162, 0.566761
0.500000, 31.507000,,2.097535, 0.564392
0.500000, 31.508000,,2.098867, 0.562025
0.500000, 31.509000,,2.100227, 0.559649
0.500000, 31.510000,,2.101541, 0.557270
0.500000, 31.511000,,2.102879, 0.554884
0.500000, 31.512000,,2.104216, 0.552516
0.500000, 31.513000,,2.105549, 0.550121
0.500000, 31.514000,,2.106851, 0.547732
0.500000, 31.515000,,2.108181, 0.545356
0.500000, 31.516000,,2.109470, 0.542939
0.500000, 31.517000,,2.110765, 0.540538
0.500000, 31.518000,,2.112058, 0.538136
0.500000, 31.519000,,2.113357, 0.535745
0.500000, 31.520000,,2.114622, 0.533325
0.500000, 31.521000,,2.115911, 0.530891
0.500000, 31.522000,,2.117173, 0.528492
0.500000, 31.523000,,2.118446, 0.526080
0.500000, 31.524000,,2.119691, 0.523644
0.500000, 31.525000,,2.120956, 0.521223
0.500000, 31.526000,,2.122198, 0.518787
0.500000, 31.527000,,2.123431, 0.516353
0.500000, 31.528000,,2.124666, 0.513914
0.500000, 31.529000,,2.125899, 0.511475
0.500000, 31.530000,,2.127114, 0.509026
0.500000, 31.531000,,2.128330, 0.506579
0.500000, 31.532000,,2.129540, 0.504130
0.500000, 31.533000,,2.130749, 0.501662
0.500000, 31.534000,,2.131938, 0.499216
0.500000, 31.535000,,2.133130, 0.496766
0.500000, 31.536000,,2.134336, 0.494293
0.500000, 31.537000,,2.135491, 0.491828
0.500000, 31.538000,,2.136709, 0.489346
0.500000, 31.539000,,2.137842, 0.486876
0.500000, 31.540000,,2.139019, 0.484391
0.500000, 31.541000,,2.140164, 0.481918
0.500000, 31.542000,,2.141322, 0.479436
0.500000, 31.543000,,2.142446, 0.476959
0.500000, 31.544000,,2.143589, 0.474452
0.500000, 31.545000,,2.144730, 0.471956
0.500000, 31.546000,,2.145845, 0.469466
0.500000, 31.547000,,2.146968, 0.466959
0.500000, 31.548000,,2.148083, 0.464463
0.500000, 31.549000,,2.149191, 0.461940
0.500000, 31.550000,,2.150295, 0.459442
0.500000, 31.551000,,2.151385, 0.456923
0.500000, 31.552000,,2.152482, 0.454419
0.500000, 31.553000,,2.153562, 0.451891
0.500000, 31.554000,,2.154647, 0.449377
0.500000, 31.555000,,2.155711, 0.446851
0.500000, 31.556000,,2.156777, 0.444314
0.500000, 31.557000,,2.157831, 0.441795
0.500000, 31.558000,,2.158888, 0.439242
0.500000, 31.559000,,2.159927, 0.436718
0.500000, 31.560000,,2.160961, 0.434173
0.500000, 31.561000,,2.161989, 0.431623
0.500000, 31.562000,,2.163020, 0.429101
0.500000, 31.563000,,2.164043, 0.426545
0.500000, 31.564000,,2.165063, 0.423993
0.500000, 31.565000,,2.166065, 0.421443
0.500000, 31.566000,,2.167066, 0.418887
0.500000, 31.567000,,2.168062, 0.416330
0.500000, 31.568000,,2.169049, 0.413765
0.500000, 31.569000,,2.170023, 0.411195
0.500000, 31.570000,,2.170999, 0.408630
0.500000, 31.571000,,2.171953, 0.406058
0.500000, 31.572000,,2.172934, 0.403484
0.500000, 31.573000,,2.173904, 0.400906
0.500000, 31.574000,,2.174833, 0.398322
0.500000, 31.575000,,2.175775, 0.395744
0.500000, 31.576000,,2.176719, 0.393181
0.500000, 31.577000,,2.177651, 0.390576
0.500000, 31.578000,,2.178579, 0.387977
0.500000, 31.579000,,2.179489, 0.385391
0.500000, 31.580000,,2.180406, 0.382793
0.500000, 31.581000,,2.181310, 0.380203
0.500000, 31.582000,,2.182215, 0.377610
0.500000, 31.583000,,2.183098, 0.375002
0.500000, 31.584000,,2.183999, 0.372397
0.500000, 31.585000,,2.184861, 0.369786
0.500000, 31.586000,,2.185747, 0.367183
0.500000, 31.587000,,2.186602, 0.364567
0.500000, 31.588000,,2.187456, 0.361955
0.500000, 31.589000,,2.188322, 0.359321
0.500000, 31.590000,,2.189160, 0.356711
0.500000, 31.591000,,2.190011, 0.354094
0.500000, 31.592000,,2.190840, 0.351462
0.500000, 31.593000,,2.191660, 0.348846
0.500000, 31.594000,,2.192468, 0.346210
0.500000, 31.595000,,2.193283, 0.343589
0.500000, 31.596000,,2.194096, 0.340936
0.500000, 31.597000,,2.194935, 0.338292
0.500000, 31.598000,,2.195693, 0.335661
0.500000, 31.599000,,2.196493, 0.333013
0.500000, 31.600000,,2.197261, 0.330386
0.500000, 31.601000,,2.198028, 0.327745
0.500000, 31.602000,,2.198798, 0.325099
0.500000, 31.603000,,2.199568, 0.322422
0.500000, 31.604000,,2.200322, 0.319799
0.500000, 31.605000,,2.201079, 0.317133
0.500000, 31.606000,,2.201790, 0.314482
0.500000, 31.607000,,2.202543, 0.311813
0.500000, 31.608000,,2.203274, 0.309164
0.500000, 31.609000,,2.203987, 0.306511
0.500000, 31.610000,,2.204687, 0.303842
0.500000, 31.611000,,2.205416, 0.301170
0.500000, 31.612000,,2.206111, 0.298497
0.500000, 31.613000,,2.206789, 0.295833
0.500000, 31.614000,,2.207475, 0.293149
0.500000, 31.615000,,2.208158, 0.290474
0.500000, 31.616000,,2.208857, 0.287805
0.500000, 31.617000,,2.209505, 0.285117
0.500000, 31.618000,,2.210155, 0.282431
0.500000, 31.619000,,2.210832, 0.279760
0.500000, 31.620000,,2.211460, 0.277062
0.500000, 31.621000,,2.212096, 0.274390
0.500000, 31.622000,,2.212738, 0.271701
0.500000, 31.623000,,2.213354, 0.269012
0.500000, 31.624000,,2.213979, 0.266293
0.500000, 31.625000,,2.214590, 0.263636
0.500000, 31.626000,,2.215182, 0.260928
0.500000, 31.627000,,2.215782, 0.258241
0.500000, 31.628000,,2.216387, 0.255557
0.500000, 31.629000,,2.216960, 0.252833
0.500000, 31.630000,,2.217527, 0.250140
0.500000, 31.631000,,2.218103, 0.247426
0.500000, 31.632000,,2.218655, 0.244717
0.500000, 31.633000,,2.219231, 0.242022
0.500000, 31.634000,,2.219777, 0.239306
0.500000, 31.635000,,2.220313, 0.236600
0.500000, 31.636000,,2.220857, 0.233877
0.500000, 31.637000,,2.221390, 0.231153
0.500000, 31.638000,,2.221887, 0.228453
0.500000, 31.639000,,2.222444, 0.225735
0.500000, 31.640000,,2.222930, 0.223009
0.500000, 31.641000,,2.223449, 0.220288
0.500000, 31.642000,,2.223926, 0.217577
0.500000, 31.643000,,2.224416, 0.214842
0.500000, 31.644000,,2.224902, 0.212133
0.500000, 31.645000,,2.225360, 0.209382
0.500000, 31.646000,,2.225842, 0.206678
0.500000, 31.647000,,2.226294, 0.203946
0.500000, 31.648000,,2.226741, 0.201208
0.500000, 31.649000,,2.227183, 0.198501
0.500000, 31.650000,,2.227632, 0.195761
0.500000, 31.651000,,2.228061, 0.193010
0.500000, 31.652000,,2.228486, 0.190291
0.500000, 31.653000,,2.228914, 0.187547
0.500000, 31.654000,,2.229320, 0.184811
0.500000, 31.655000,,2.229719, 0.182064
0.500000, 31.656000,,2.230116, 0.179340
0.500000, 31.657000,,2.230488, 0.176582
0.500000, 31.658000,,2.230909, 0.173854
0.500000, 31.659000,,2.231265, 0.171113
0.500000, 31.660000,,2.231624, 0.168369
0.500000, 31.661000,,2.231996, 0.165610
0.500000, 31.662000,,2.232337, 0.162861
0.500000, 31.663000,,2.232701, 0.160115
0.500000, 31.664000,,2.233037, 0.157372
0.500000, 31.665000,,2.233360, 0.154623
0.500000, 31.666000,,2.233701, 0.151869
0.500000, 31.667000,,2.234000, 0.149111
0.500000, 31.668000,,2.234340, 0.146367
0.500000, 31.669000,,2.234620, 0.143610
0.500000, 31.670000,,2.234912, 0.140861
0.500000, 31.671000,,2.235213, 0.138106
0.500000, 31.672000,,2.235495, 0.135321
0.500000, 31.673000,,2.235771, 0.132570
0.500000, 31.674000,,2.236051, 0.129812
0.500000, 31.675000,,2.236300, 0.127056
0.500000, 31.676000,,2.236557, 0.124294
0.500000, 31.677000,,2.236822, 0.121540
0.500000, 31.678000,,2.237048, 0.118773
0.500000, 31.679000,,2.237281, 0.116004
0.500000, 31.680000,,2.237502, 0.113247
0.500000, 31.681000,,2.237731, 0.110488
0.500000, 31.682000,,2.237945, 0.107725
0.500000, 31.683000,,2.238158, 0.104956
0.500000, 31.684000,,2.238347, 0.102204
0.500000, 31.685000,,2.238541, 0.099423
0.500000, 31.686000,,2.238727, 0.096659
0.500000, 31.687000,,2.238890, 0.093897
0.500000, 31.688000,,2.239076, 0.091129
0.500000, 31.689000,,2.239223, 0.088374
0.500000, 31.690000,,2.239390, 0.085581
0.500000, 31.691000,,2.239506, 0.082831
0.500000, 31.692000,,2.239680, 0.080049
0.500000, 31.693000,,2.239808, 0.077279
0.500000, 31.694000,,2.239948, 0.074509
0.500000, 31.695000,,2.240064, 0.071728
0.500000, 31.696000,,2.240172, 0.068969
0.500000, 31.697000,,2.240264, 0.066181
0.500000, 31.698000,,2.240391, 0.063416
0.500000, 31.699000,,2.240464, 0.060647
0.500000, 31.700000,,2.240535, 0.057873
0.500000, 31.701000,,2.240622, 0.055101
0.500000, 31.702000,,2.240698, 0.052318
0.500000, 31.703000,,2.240763, 0.049533
0.500000, 31.704000,,2.240820, 0.046762
0.500000, 31.705000,,2.240852, 0.043998
0.500000, 31.706000,,2.240897, 0.041232
0.500000, 31.707000,,2.240944, 0.038455
0.500000, 31.708000,,2.240966, 0.035676
0.500000, 31.709000,,2.240979, 0.032906
0.500000, 31.710000,,2.240980, 0.030130
0.500000, 31.711000,,2.240995, 0.027351
0.500000, 31.712000,,2.241016, 0.024583
0.500000, 31.713000,,2.240985, 0.021801
0.500000, 31.714000,,2.240971, 0.019033
0.500000, 31.715000,,2.240961, 0.016243
0.500000, 31.716000,,2.240927, 0.013465
0.500000, 31.717000,,2.240887, 0.010694
0.500000, 31.718000,,2.240829, 0.007923
0.500000, 31.719000,,2.240771, 0.005142
0.500000, 31.720000,,2.240707, 0.002356
0.500000, 31.721000,,2.240657, -0.000418
0.500000, 31.722000,,2.240578, -0.003179
0.500000, 31.723000,,2.240500, -0.005956
0.500000, 31.724000,,2.240411, -0.008741
0.500000, 31.725000,,2.240320, -0.011502
0.500000, 31.726000,,2.240203, -0.014280
0.500000, 31.727000,,2.240110, -0.017057
0.500000, 31.728000,,2.239976, -0.019817
0.500000, 31.729000,,2.239881, -0.022608
0.500000, 31.730000,,2.239722, -0.025380
0.500000, 31.731000,,2.239565, -0.028140
0.500000, 31.732000,,2.239455, -0.030911
0.500000, 31.733000,,2.239285, -0.033700
0.500000, 31.734000,,2.239132, -0.036462
0.500000, 31.735000,,2.238966, -0.039241
0.500000, 31.736000,,2.238788, -0.042016
0.500000, 31.737000,,2.238607, -0.044775
0.500000, 31.738000,,2.238428, -0.047552
0.500000, 31.739000,,2.238220, -0.050315
0.500000, 31.740000,,2.238016, -0.053086
0.500000, 31.741000,,2.237817, -0.055858
0.500000, 31.742000,,2.237606, -0.058614
0.500000, 31.743000,,2.237362, -0.061397
0.500000, 31.744000,,2.237136, -0.064172
0.500000, 31.745000,,2.236898, -0.066930
0.500000, 31.746000,,2.236657, -0.069686
0.500000, 31.747000,,2.236390, -0.072452
0.500000, 31.748000,,2.236154, -0.075219
0.500000, 31.749000,,2.235871, -0.077972
0.500000, 31.750000,,2.235612, -0.080739
0.500000, 31.751000,,2.235317, -0.083523
0.500000, 31.752000,,2.235034, -0.086257
0.500000, 31.753000,,2.234727, -0.089041
0.500000, 31.754000,,2.234417, -0.091805
0.500000, 31.755000,,2.234106, -0.094559
0.500000, 31.756000,,2.233792, -0.097331
0.500000, 31.757000,,2.233477, -0.100071
0.500000, 31.758000,,2.233147, -0.102826
0.500000, 31.759000,,2.232814, -0.105585
0.500000, 31.760000,,2.232456, -0.108331
0.500000, 31.761000,,2.232109, -0.111097
0.500000, 31.762000,,2.231741, -0.113853
0.500000, 31.763000,,2.231374, -0.116606
0.500000, 31.764000,,2.231003, -0.119355
0.500000, 31.765000,,2.230634, -0.122089
0.500000, 31.766000,,2.230227, -0.124848
0.500000, 31.767000,,2.229834, -0.127605
0.500000, 31.768000,,2.229426, -0.130325
0.500000, 31.769000,,2.229034, -0.133078
0.500000, 31.770000,,2.228623, -0.135834
0.500000, 31.771000,,2.228181, -0.138578
0.500000, 31.772000,,2.227742, -0.141326
0.500000, 31.773000,,2.227313, -0.144059
0.500000, 31.774000,,2.226847, -0.146799
0.500000, 31.775000,,2.226417, -0.149550
0.500000, 31.776000,,2.225945, -0.152283
0.500000, 31.777000,,2.225493, -0.155024
0.500000, 31.778000,,2.225016, -0.157752
0.500000, 31.779000,,2.224541, -0.160474
0.500000, 31.780000,,2.224043, -0.163221
0.500000, 31.781000,,2.223546, -0.165946
0.500000, 31.782000,,2.223057, -0.168661
0.500000, 31.783000,,2.222536, -0.171392
0.500000, 31.784000,,2.222021, -0.174131
0.500000, 31.785000,,2.221503, -0.176857
0.500000, 31.786000,,2.220979, -0.179584
0.500000, 31.787000,,2.220447, -0.182302
0.500000, 31.788000,,2.219890, -0.185021
0.500000, 31.789000,,2.219346, -0.187727
0.500000, 31.790000,,2.218782, -0.190469
0.500000, 31.791000,,2.218207, -0.193178
0.500000, 31.792000,,2.217643, -0.195890
0.500000, 31.793000,,2.217061, -0.198611
0.500000, 31.794000,,2.216478, -0.201310
0.500000, 31.795000,,2.215886, -0.204025
0.500000, 31.796000,,2.215290, -0.206740
0.500000, 31.797000,,2.214668, -0.209444
0.500000, 31.798000,,2.214071, -0.212155
0.500000, 31.799000,,2.213455, -0.214852
0.500000, 31.800000,,2.212808, -0.217550
0.500000, 31.801000,,2.212179, -0.220259
0.500000, 31.802000,,2.211529, -0.222937
0.500000, 31.803000,,2.210895, -0.225665
0.500000, 31.804000,,2.210242, -0.228341
0.500000, 31.805000,,2.209581, -0.231033
0.500000, 31.806000,,2.208896, -0.233717
0.500000, 31.807000,,2.208223, -0.236421
0.500000, 31.808000,,2.207540, -0.239082
0.500000, 31.809000,,2.206872, -0.241781
0.500000, 31.810000,,2.206162, -0.244462
0.500000, 31.811000,,2.205462, -0.247157
0.500000, 31.812000,,2.204759, -0.249830
0.500000, 31.813000,,2.204026, -0.252513
0.500000, 31.814000,,2.203281, -0.255179
0.500000, 31.815000,,2.202563, -0.257866
0.500000, 31.816000,,2.201832, -0.260514
0.500000, 31.817000,,2.201081, -0.263203
